Begin Time (s),End Time (s),Sound_Type,Filename
1.9541666666666666,2.2708333333333335,B,/Users/wheelerlab/.local/share/virtualenvs/disco-rcEiosCh/lib/python3.8/site-packages/disco_sound/resources/example.wav
2.933333333333333,3.154166666666667,B,/Users/wheelerlab/.local/share/virtualenvs/disco-rcEiosCh/lib/python3.8/site-packages/disco_sound/resources/example.wav
3.720833333333333,3.9833333333333334,B,/Users/wheelerlab/.local/share/virtualenvs/disco-rcEiosCh/lib/python3.8/site-packages/disco_sound/resources/example.wav
5.383333333333333,5.779166666666667,B,/Users/wheelerlab/.local/share/virtualenvs/disco-rcEiosCh/lib/python3.8/site-packages/disco_sound/resources/example.wav
6.383333333333333,6.695833333333333,B,/Users/wheelerlab/.local/share/virtualenvs/disco-rcEiosCh/lib/python3.8/site-packages/disco_sound/resources/example.wav
7.141666666666667,7.270833333333333,A,/Users/wheelerlab/.local/share/virtualenvs/disco-rcEiosCh/lib/python3.8/site-packages/disco_sound/resources/example.wav
8.804166666666667,8.970833333333333,B,/Users/wheelerlab/.local/share/virtualenvs/disco-rcEiosCh/lib/python3.8/site-packages/disco_sound/resources/example.wav
10.5,10.9125,B,/Users/wheelerlab/.local/share/virtualenvs/disco-rcEiosCh/lib/python3.8/site-packages/disco_sound/resources/example.wav
11.491666666666667,11.875,B,/Users/wheelerlab/.local/share/virtualenvs/disco-rcEiosCh/lib/python3.8/site-packages/disco_sound/resources/example.wav
12.283333333333333,12.862499999999999,B,/Users/wheelerlab/.local/share/virtualenvs/disco-rcEiosCh/lib/python3.8/site-packages/disco_sound/resources/example.wav
15.6,15.704166666666666,B,/Users/wheelerlab/.local/share/virtualenvs/disco-rcEiosCh/lib/python3.8/site-packages/disco_sound/resources/example.wav
17.216666666666665,17.65833333333333,B,/Users/wheelerlab/.local/share/virtualenvs/disco-rcEiosCh/lib/python3.8/site-packages/disco_sound/resources/example.wav
19.2125,19.4375,B,/Users/wheelerlab/.local/share/virtualenvs/disco-rcEiosCh/lib/python3.8/site-packages/disco_sound/resources/example.wav
24.791666666666668,25.116666666666667,B,/Users/wheelerlab/.local/share/virtualenvs/disco-rcEiosCh/lib/python3.8/site-packages/disco_sound/resources/example.wav
25.708333333333332,26.079166666666666,B,/Users/wheelerlab/.local/share/virtualenvs/disco-rcEiosCh/lib/python3.8/site-packages/disco_sound/resources/example.wav
26.458333333333332,26.954166666666666,B,/Users/wheelerlab/.local/share/virtualenvs/disco-rcEiosCh/lib/python3.8/site-packages/disco_sound/resources/example.wav
27.458333333333332,27.929166666666667,B,/Users/wheelerlab/.local/share/virtualenvs/disco-rcEiosCh/lib/python3.8/site-packages/disco_sound/resources/example.wav
28.458333333333332,29.083333333333332,B,/Users/wheelerlab/.local/share/virtualenvs/disco-rcEiosCh/lib/python3.8/site-packages/disco_sound/resources/example.wav
30.458333333333332,31.025,B,/Users/wheelerlab/.local/share/virtualenvs/disco-rcEiosCh/lib/python3.8/site-packages/disco_sound/resources/example.wav
31.516666666666666,31.991666666666667,B,/Users/wheelerlab/.local/share/virtualenvs/disco-rcEiosCh/lib/python3.8/site-packages/disco_sound/resources/example.wav
32.420833333333334,32.975,B,/Users/wheelerlab/.local/share/virtualenvs/disco-rcEiosCh/lib/python3.8/site-packages/disco_sound/resources/example.wav
33.5,33.90416666666667,B,/Users/wheelerlab/.local/share/virtualenvs/disco-rcEiosCh/lib/python3.8/site-packages/disco_sound/resources/example.wav
34.391666666666666,34.82083333333333,B,/Users/wheelerlab/.local/share/virtualenvs/disco-rcEiosCh/lib/python3.8/site-packages/disco_sound/resources/example.wav
36.145833333333336,36.520833333333336,B,/Users/wheelerlab/.local/share/virtualenvs/disco-rcEiosCh/lib/python3.8/site-packages/disco_sound/resources/example.wav
37.12916666666666,37.55,B,/Users/wheelerlab/.local/share/virtualenvs/disco-rcEiosCh/lib/python3.8/site-packages/disco_sound/resources/example.wav
37.94166666666666,38.5,B,/Users/wheelerlab/.local/share/virtualenvs/disco-rcEiosCh/lib/python3.8/site-packages/disco_sound/resources/example.wav
38.96666666666667,39.45,B,/Users/wheelerlab/.local/share/virtualenvs/disco-rcEiosCh/lib/python3.8/site-packages/disco_sound/resources/example.wav
39.858333333333334,40.3875,B,/Users/wheelerlab/.local/share/virtualenvs/disco-rcEiosCh/lib/python3.8/site-packages/disco_sound/resources/example.wav
40.7875,41.4375,B,/Users/wheelerlab/.local/share/virtualenvs/disco-rcEiosCh/lib/python3.8/site-packages/disco_sound/resources/example.wav
41.8125,42.295833333333334,B,/Users/wheelerlab/.local/share/virtualenvs/disco-rcEiosCh/lib/python3.8/site-packages/disco_sound/resources/example.wav
42.645833333333336,43.12916666666666,B,/Users/wheelerlab/.local/share/virtualenvs/disco-rcEiosCh/lib/python3.8/site-packages/disco_sound/resources/example.wav
